ime,dirkalisce,drzava,leto,prvenstvo,zmagovalec
Mexican Grand Prix,Gran Premio de Mexico,MEX,2018,F1 World Championship,Max Verstappen
Australian MotoGP,Michelin Australian Motorcycle Grand Prix,AUS,2018,World Motorcycle Championship,Maverick Vinales
Martinsville NASCAR,First Data 500,USA,2018,Monster Energy NASCAR Cup,Joey Logano
Suzuka WTCR,Race of Japan - Race 2,JPN,2018,World Touring Car Cup,Rob Huff
Suzuka WTCR,Race of Japan - Race 3,JPN,2018,World Touring Car Cup,Gabriele Tarquini
Suzuka Super Formula,,JPN,2018,Japanese Super Formula Championship,Naoki Yamamoto
Suzuka WTCR,Race of Japan - Race 1,JPN,2018,World Touring Car Cup,Kevin Ceccon
Japanese MotoGP,Motul Grand Prix of Japan,JPN,2018,World Motorcycle Championship,Marc Marquez
Kansas NASCAR,Hollywood Casino 400,USA,2018,Monster Energy NASCAR Cup,Chase Elliott
United States Grand Prix,Pirelli United States Grand Prix,USA,2018,F1 World Championship,Kimi Raikkonen
Fuji 6 Hours,6 Hours of Fuji,JPN,2018,Jose Maria Lopez,Mike Conway
Talladega NASCAR,1000bulbs.com 500,USA,2018,Monster Energy NASCAR Cup,Aric Almirola
Hockenheim DTM,,DEU,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Hockenheim European F3,,DEU,2018,European F3 Championship,Robert Shwartzman
Petit Le Mans,Motul Petit Le Mans,USA,2018,Jordan Taylor,Ryan Hunter-Reay
Hockenheim DTM,,DEU,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Hockenheim European F3,,DEU,2018,European F3 Championship,Guanyu Zhou
Hockenheim European F3,,DEU,2018,European F3 Championship,Juri Vips
Thailand MotoGP,PTT Thailand Grand Prix,THA,2018,World Motorcycle Championship,Marc Marquez
Dover Downs NASCAR,Gander Outdoors 400,USA,2018,Monster Energy NASCAR Cup,Chase Elliott
Wuhan WTCR,Race of China/Wuhan - Race 2,CHN,2018,World Touring Car Cup,Mehdi Bennani
Wuhan WTCR,Race of China/Wuhan - Race 3,CHN,2018,World Touring Car Cup,Gordon Shedden
Japanese Grand Prix,Honda Japanese Grand Prix,JPN,2018,F1 World Championship,Lewis Hamilton
Wuhan WTCR,Race of China/Wuhan - Race 1,CHN,2018,World Touring Car Cup,Jean-Karl Vernay
Russian Grand Prix,VTB Russian Grand Prix,RUS,2018,F1 World Championship,Lewis Hamilton
Sochi F2,,RUS,2018,FIA Formula 2 Championship,George Russell
Sochi GP3,,RUS,2018,GP3 Series,David Beckmann
Charlotte NASCAR,Bank Of America Roval 400,USA,2018,Monster Energy NASCAR Cup,Dave Blaney
Ningbo WTCR,Race of China/Ningbo - Race 2,CHN,2018,World Touring Car Cup,Yvan Muller
Ningbo WTCR,Race of China/Ningbo - Race 3,CHN,2018,World Touring Car Cup,Thed Bjork
Barcelona Blancpain,,ESP,2018,Raffaele Marciello,Daniel Juncadella
Sochi F2,,RUS,2018,FIA Formula 2 Championship,Alexander Albon
Sochi GP3,,RUS,2018,GP3 Series,Leonardo Pulcini
Ningbo WTCR,Race of China/Ningbo - Race 1,CHN,2018,World Touring Car Cup,Thed Bjork
Aragon MotoGP,Gran Premio Movistar de Aragon,ESP,2018,World Motorcycle Championship,Marc Marquez
Spielberg DTM,,AUT,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Spielberg European F3,,AUT,2018,European F3 Championship,Mick Schumacher
Spielberg European F3,,AUT,2018,European F3 Championship,Robert Shwartzman
Richmond NASCAR,Federated Auto Parts 400,USA,2018,Monster Energy NASCAR Cup,Kyle Busch
Spielberg DTM,,AUT,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Spielberg European F3,,AUT,2018,European F3 Championship,Mick Schumacher
Sears Point Indycars,Grand Prix of Sonoma,USA,2018,Verizon IndyCar Series,Ryan Hunter-Reay
Las Vegas NASCAR,South Point 400,USA,2018,Monster Energy NASCAR Cup,Brad Keselowski
Singapore Grand Prix,Singapore Airlines Singapore Grand Prix,SGP,2018,F1 World Championship,Lewis Hamilton
Brickyard NASCAR,Big Machine Vodka 400 at the Brickyard,USA,2018,Monster Energy NASCAR Cup,Brad Keselowski
Laguna Seca United Sports Cars,Continental Tire Monterey Grand Prix,USA,2018,Johannes van Overbeek,Luis Felipe Derani
San Marino MotoGP,Gran Premio Octo di San Marino e della Riviera di Rimini,ITA,2018,World Motorcycle Championship,Andrea Dovizioso
Okayama Super Formula,,JPN,2018,Japanese Super Formula Championship,Yuhi Sekiguchi
Nurburgring DTM,,DEU,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Nurburgring European F3,,DEU,2018,European F3 Championship,Mick Schumacher
Nurburgring European F3,,DEU,2018,European F3 Championship,Mick Schumacher
Nurburgring DTM,,DEU,2018,Deutsche Tourenwagen Meisterschaft,Rene Rast
Nurburgring European F3,,DEU,2018,European F3 Championship,Mick Schumacher
Monza F2,,ITA,2018,FIA Formula 2 Championship,George Russell
Monza GP3,,ITA,2018,GP3 Series,Pedro Piquet
Portland Indycars,Grand Prix of Portland,USA,2018,Verizon IndyCar Series,Takuma Sato
Portland Indy Lights,Cooper Tires Indy Lights Grand Prix of Portland - Race 2,USA,2018,Indy Lights Presented by Cooper Tires,Pato O&#039;Ward
Darlington NASCAR,Bojangles&#039; Southern 500,USA,2018,Monster Energy NASCAR Cup,Brad Keselowski
Italian Grand Prix,Gran Premio Heineken d&#039;Italia,ITA,2018,F1 World Championship,Lewis Hamilton
Monza F2,,ITA,2018,FIA Formula 2 Championship,Tadasuke Makino
Monza GP3,,ITA,2018,GP3 Series,David Beckmann
Portland Indy Lights,Cooper Tires Indy Lights Grand Prix of Portland - Race 1,USA,2018,Indy Lights Presented by Cooper Tires,Pato O&#039;Ward
Belgian Grand Prix,Grand Prix Johnnie Walker de Belgique,BEL,2018,F1 World Championship,Sebastian Vettel
Spa F2,,BEL,2018,FIA Formula 2 Championship,Nicholas Latifi
Spa GP3,,BEL,2018,GP3 Series,Nikita Mazepin
British MotoGP,GoPro British Grand Prix,GBR,2018,World Motorcycle Championship,Ni zmagovalca
Misano DTM,,ITA,2018,Deutsche Tourenwagen Meisterschaft,Joel Eriksson
Misano European F3,,ITA,2018,European F3 Championship,Juri Vips
Misano European F3,,ITA,2018,European F3 Championship,Ralf Aron
Spa F2,,BEL,2018,FIA Formula 2 Championship,Nyck de Vries
Spa GP3,,BEL,2018,GP3 Series,David Beckmann
St Louis Indycars,Bommarito Automotive Group 500,USA,2018,Verizon IndyCar Series,Will Power
St Louis Indy Lights,Mazda St Louis Indy Lights Oval Challenge,USA,2018,Indy Lights Presented by Cooper Tires,Ryan Norman
Misano DTM,,ITA,2018,Deutsche Tourenwagen Meisterschaft,Paul di Resta
Misano European F3,,ITA,2018,European F3 Championship,Mick Schumacher
Virginia United Sports Cars,Michelin GT Challenge at VIR,USA,2018,Alexander Sims,Connor de Phillippi
Pocono 500,ABC Supply 500,USA,2018,Verizon IndyCar Series,Alexander Rossi
Silverstone 6 Hours,6 Hours of Silverstone,GBR,2018,Thomas Laurent,Mathias Beche
Motegi Super Formula,,JPN,2018,Japanese Super Formula Championship,Hiroaki Ishiura
Silverstone European F3,,GBR,2018,European F3 Championship,Mick Schumacher
Silverstone European F3,,GBR,2018,European F3 Championship,Juri Vips
Bristol NASCAR,Bass Pro Shops NRA Night Race,USA,2018,Monster Energy NASCAR Cup,Kurt Busch
Silverstone European F3,,GBR,2018,European F3 Championship,Dan Ticktum
Austrian MotoGP,Eyetime MotorRad Grosser Preis von Osterreich,AUT,2018,World Motorcycle Championship,Jorge Lorenzo
Michigan NASCAR,Consumers Energy 400,USA,2018,Monster Energy NASCAR Cup,Kevin Harvick
Brands Hatch DTM,,GBR,2018,Deutsche Tourenwagen Meisterschaft,Paul di Resta
Brands Hatch DTM,,GBR,2018,Deutsche Tourenwagen Meisterschaft,Daniel Juncadella
Road America United Sports Cars,Continental Tire Road Race Showcase at Road America,USA,2018,Jonathan Bennett,Colin Braun
Czech MotoGP,Monster Energy Grand Prix Ceske Republiky,CZE,2018,World Motorcycle Championship,Andrea Dovizioso
Watkins Glen NASCAR,GoBowling At The Glen,USA,2018,Monster Energy NASCAR Cup,Chase Elliott
Hungaroring F2,,HUN,2018,FIA Formula 2 Championship,Alexander Albon
Hungaroring GP3,,HUN,2018,GP3 Series,Dorian Boccolacci
Mid-Ohio Indycars,Honda Indy 200,USA,2018,Verizon IndyCar Series,Alexander Rossi
