ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Weaverville NASCAR,Western North Carolina 500,USA,05/11/1967,NASCAR Grand National,Bobby Allison
North Carolina NASCAR,American 500,USA,29/10/1967,NASCAR Grand National,Bobby Allison
Riverside Can-Am,Los Angeles Times Grand Prix,USA,29/10/1967,Can-Am Challenge,Bruce McLaren
Mexican Grand Prix,Gran Premio de Mexico,MEX,22/10/1967,F1 World Championship,Jim Clark
Hanford Indycars,California 200,USA,22/10/1967,USAC National Championship,Gordon Johncock
Pietermaritzburg F1,Pat Fairfield Trophy,ZAF,22/10/1967,South African Drivers Championship,John Love
Charlotte NASCAR,National 500,USA,15/10/1967,NASCAR Grand National,Buddy Baker
Monterey Grand Prix,Monterey Grand Prix,USA,15/10/1967,Can-Am Challenge,Bruce McLaren
Rome Grand Prix,Gran Premio di Roma,ITA,08/10/1967,European F2 Trophy,Jacky Ickx
Kyalami F1,Rand Spring Trophy,ZAF,07/10/1967,South African Drivers Championship,Dave Charlton
United States Grand Prix,United States Grand Prix,USA,01/10/1967,F1 World Championship,Jim Clark
Sacramento Indycars,Golden State 100,USA,01/10/1967,USAC National Championship,AJ Foyt jr
North Wilkesboro NASCAR,Wilkes 400,USA,01/10/1967,NASCAR Grand National,Richard Petty
Lake Tahoe F5000,Lake Tahoe Continental,USA,01/10/1967,SCCA Formula A Grand Prix Championship,Gus Hutchison
Trenton Indycars,Trenton 200,USA,24/09/1967,USAC National Championship,AJ Foyt jr
Martinsville NASCAR,Old Dominion 500,USA,24/09/1967,NASCAR Grand National,Richard Petty
Mosport Park Can-Am,Player&#039;s 200,CAN,23/09/1967,Can-Am Challenge,Denny Hulme
Hillsborough NASCAR,Hillsborough 150,USA,17/09/1967,NASCAR Grand National,Richard Petty
Bridgehampton Can-Am,Bridgehampton Grand Prix,USA,17/09/1967,Can-Am Challenge,Denny Hulme
St Jovite F5000,St Jovite Grand Prix,CAN,17/09/1967,SCCA Formula A Grand Prix Championship,Fred Ashplant
Oulton Park Gold Cup,International Gold Cup,GBR,16/09/1967,Non-championship,Jack Brabham
Beltsville NASCAR,Maryland 300,USA,15/09/1967,NASCAR Grand National,Richard Petty
Italian Grand Prix,Gran Premio d&#039;Italia e Europa,ITA,10/09/1967,F1 World Championship,John Surtees
Richmond NASCAR,Capital City 300,USA,10/09/1967,NASCAR Grand National,Richard Petty
Indiana State Fair Indycars,Hoosier 100,USA,09/09/1967,USAC National Championship,Mario Andretti
